,Player,Pos,Age,Tm,G,MP,GS,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,Fast.Break.Pts,Points.In.Paint,Points.off.TO,X2nd.Chance.PTS,Points.scored.per.shot,MPG,A2TO
261,Josh Huestis,PF,26,OKC,69,982,10,2.2,6.7,0.33,1.2,4.2,0.287,1,2.5,0.403,0.2,0.7,0.3,1.5,4.4,5.9,0.7,0.5,1.6,1,3,5.8,5.4,0.417,0.632,0.11,4.6,13.9,9.1,2.7,0.8,4,12,9.5,-0.5,1,0.5,0.024,-4.6,0.7,-3.9,-0.5,0.3,0.78,0.41,0.59,0.891,14.23188406,0.7
262,Josh Jackson,SF,20,PHO,77,1959,35,7.1,17.1,0.417,1,4,0.263,6.1,13.1,0.464,3.3,5.1,0.634,1.7,4.7,6.5,2.2,1.5,0.6,2.7,4,18.6,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2,1.4,12.2,26,-2,1.2,-0.7,-0.018,-3.1,-1.2,-4.3,-1.1,2.19,6.06,2,1.45,1.081,25.44155844,0.814814815
263,Josh Magette,PG,28,ATL,18,216,0,2.5,7.7,0.326,1.3,3.7,0.364,1.2,4,0.292,1.3,1.3,1,0.3,2.8,3.2,9.5,1.3,0.2,1.5,2.7,7.7,11.9,0.464,0.478,0.174,1,8.8,4.9,36.4,1.8,0.4,15.4,11.8,0.3,0.1,0.4,0.092,-2.3,-3,-5.4,-0.2,0.23,0.15,0.23,0,1.273,12,6.333333333
264,Josh McRoberts,PF,30,DAL,2,6,0,0,6,0,0,6,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,12,0,-12.5,0,1,0,0,0,0,0,0,0,0,7.6,0,0,0,-0.19,-9.8,-2.4,-12.2,0,0,0,0,0,0,3,NA
265,Josh Richardson,SF,24,MIA,81,2689,81,5.3,11.8,0.451,1.7,4.5,0.378,3.6,7.3,0.495,1.6,1.9,0.845,0.9,2.9,3.8,3.1,1.6,1,1.9,2.7,14,13.6,0.551,0.38,0.16,2.9,9,6,13.2,2.3,2.4,12.9,18.2,1.8,3.5,5.4,0.096,-0.1,1.5,1.4,2.3,1.19,4.21,1.76,0.87,1.198,33.19753086,1.631578947
266,Josh Smith,PF,32,NOP,3,12,0,3,12,0.25,0,0,NA,3,12,0.25,0,0,NA,9,3,12,0,0,0,0,9,6,3.5,0.25,0,0,28.1,8.7,18.1,0,0,0,0,14.4,0,0,0,-0.013,-6,-7.4,-13.4,0,0,0.67,0,0.67,0.5,4,NA
267,JR Smith,SG,32,CLE,80,2244,61,3.9,9.5,0.403,2.3,6.1,0.375,1.6,3.4,0.453,0.6,0.9,0.696,0.5,3.3,3.8,2.3,1.1,0.2,1.3,2.6,10.6,8.5,0.534,0.64,0.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,0.031,-0.6,-1,-1.7,0.2,0.95,1.33,1.05,0.61,1.087,28.05,1.769230769
268,Jrue Holiday,SG,27,NOP,81,2927,81,7.6,15.3,0.494,1.5,4.4,0.337,6.1,10.9,0.557,2.3,2.9,0.786,0.8,3.7,4.5,6,1.5,0.8,2.6,2.5,18.9,17.8,0.57,0.286,0.191,2.4,10.8,6.8,24.9,2,1.7,13.6,23.1,4.2,2.9,7.1,0.116,1.8,0.3,2.1,3,2.48,9.94,2.55,1.17,1.241,36.13580247,2.307692308
269,Juan Hernangomez,PF,22,DEN,25,277,3,3.8,9.7,0.387,1.8,6.5,0.28,1.9,3.2,0.6,1.3,1.6,0.833,2.3,4.7,7,1.6,0.8,0.4,1.2,3.2,10.7,9.7,0.511,0.667,0.16,7.4,14.6,11,5.9,1.1,0.9,10.1,14,0.2,0.1,0.4,0.061,-1,-2.2,-3.3,-0.1,0.59,1.27,0.5,0.86,1.09,11.08,1.333333333
270,Julius Randle,C,23,LAL,82,2190,49,8.3,14.9,0.558,0.2,0.7,0.222,8.1,14.1,0.575,5,7,0.718,3,7.8,10.8,3.5,0.7,0.7,3.5,4.5,21.7,19.9,0.606,0.05,0.47,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,4,2.6,6.6,0.145,0.4,0.6,0.9,1.6,2.71,11.44,2.43,2.81,1.462,26.70731707,1
271,Julyan Stone,SG,29,CHO,23,175,0,1.2,2.7,0.462,1.2,2.7,0.462,0,0,NA,0.2,0.4,0.5,0.2,5.8,6,5.3,0.8,0.4,1.4,4.3,3.9,7.6,0.684,1,0.154,0.6,17.6,9,19.2,1.1,1,33.5,5.2,0.2,0.2,0.3,0.087,-2.1,0.3,-1.8,0,0,0,0.2,0,1.75,7.608695652,3.785714286
272,Justin Anderson,SF,24,PHI,38,519,0,6,14,0.431,2.4,7.1,0.33,3.7,6.9,0.535,1.9,2.6,0.737,1.7,4.7,6.5,1.7,1,0.5,1.1,3.7,16.4,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.5,-1.5,-2,0,0.86,2.43,0.96,0.75,1.168,13.65789474,1.545454545
273,Justin Holiday,SG,28,CHI,72,2265,72,4.6,12.4,0.371,2.6,7.1,0.359,2.1,5.3,0.387,2.1,2.6,0.823,0.5,4.1,4.6,2.4,1.3,0.5,1.5,2.1,13.9,10.8,0.513,0.574,0.21,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,0.1,1.6,1.7,0.036,-1,-0.3,-1.3,0.4,1.24,2,1.9,0.81,1.155,31.45833333,1.6
274,Justin Jackson,SF,22,SAC,68,1506,41,4.4,10,0.442,1.4,4.4,0.308,3.1,5.6,0.547,0.6,0.9,0.722,0.6,3.8,4.5,1.8,0.7,0.3,1,1.9,10.8,9.2,0.521,0.442,0.086,2,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1,0.031,-2,-1.5,-3.5,-0.6,1.09,2.62,1,0.71,1.08,22.14705882,1.8
275,Justise Winslow,PF,21,MIA,68,1680,25,4.4,10.5,0.424,1,2.8,0.38,3.4,7.7,0.44,1.4,2.2,0.635,1.4,6.5,7.9,3.2,1.2,0.7,1.6,3,11.3,11.5,0.496,0.264,0.213,4.3,20.4,12.3,13,1.6,1.7,12.6,16.3,0.2,2.4,2.6,0.075,-2.7,1.7,-1,0.4,0.71,3.82,1.29,0.85,1.085,24.70588235,2
276,Jusuf Nurkic,C,23,POR,79,2088,79,8.3,16.4,0.505,0,0.1,0,8.3,16.3,0.508,3,4.7,0.63,3.3,8.9,12.2,2.5,1.1,1.9,3.2,4.3,19.5,19.2,0.528,0.007,0.287,10,26.9,18.5,11.7,1.5,4.3,14.6,26.4,0.8,3.9,4.7,0.108,-2.6,2.8,0.3,1.2,0.51,9.91,1.83,2.35,1.172,26.43037975,0.78125
277,Kadeem Allen,PG,25,BOS,18,107,1,2,7.4,0.273,0,3.7,0,2,3.7,0.545,2.4,3,0.778,1.3,2.4,3.7,4,1,0.7,3,5,6.4,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.039,-6.7,0.3,-6.4,-0.1,0,0.25,0,0,0.833,5.944444444,1.333333333
278,Karl-Anthony Towns,C,22,MIN,82,2918,82,7.9,14.5,0.545,1.5,3.5,0.421,6.4,10.9,0.585,4.3,5,0.858,2.9,9.5,12.5,2.5,0.8,1.4,2,3.5,21.5,24.9,0.646,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14,0.23,4.4,1.1,5.5,5.5,0.71,10.12,3.04,3.86,1.501,35.58536585,1.25
279,Kawhi Leonard,SF,26,SAS,9,210,9,8.9,19,0.468,1.9,6,0.314,7,13,0.539,5.3,6.5,0.816,1,6.2,7.2,3.6,3.1,1.5,2.7,1.5,25,26,0.572,0.315,0.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,0.3,0.5,0.9,0.196,2.7,3.2,5.9,0.4,2.67,5.11,3.56,1.22,1.315,23.33333333,1.333333333
280,Kay Felder,PG,22,TOT,16,140,0,5.4,18,0.3,1,4.9,0.211,4.4,13.1,0.333,2.8,3.1,0.917,0.8,3.9,4.6,5.1,0.8,0.3,4.1,2.8,14.7,3.6,0.379,0.271,0.171,2.3,12,6.9,22,1,0.6,17.5,28.4,-0.6,0.1,-0.5,-0.175,-8.6,-3.8,-12.4,-0.4,0,1.2,0.33,0,0.809,8.75,1.243902439
281,Kelly Olynyk,PF,26,MIA,76,1779,22,6.4,12.9,0.497,2.1,5.7,0.379,4.2,7.2,0.59,2.7,3.5,0.77,1.8,6.9,8.7,4.2,1.3,0.7,3,4.5,17.6,17.8,0.612,0.44,0.274,5.6,21.6,13.6,18.7,1.7,1.7,17.1,21.7,2.8,2.7,5.5,0.148,1.6,1.3,2.9,2.2,0.7,4.57,1.43,1.49,1.348,23.40789474,1.4
282,Kelly Oubre,SF,22,WAS,81,2231,11,5.1,12.7,0.403,2,6,0.341,3.1,6.8,0.456,3.1,3.8,0.82,1,4.9,5.9,1.6,1.3,0.6,1.5,3.8,15.4,11.9,0.534,0.467,0.295,3,15.4,9.2,6.4,1.8,1.4,9.2,19.4,1.4,2.3,3.7,0.08,-0.8,-0.4,-1.2,0.4,1.76,4,2.32,1.93,1.243,27.54320988,1.066666667
283,Kemba Walker,PG,27,CHO,80,2736,80,7.7,17.9,0.431,3,7.9,0.384,4.7,10,0.469,4.8,5.5,0.864,0.4,2.8,3.3,5.8,1.2,0.3,2.4,1.3,23.3,20.6,0.572,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2,8.5,0.15,5.1,-1.9,3.2,3.6,2.6,6.06,3.36,1.37,1.293,34.2,2.416666667
284,Kenneth Faried,PF,28,DEN,32,461,7,5.9,11.6,0.514,0,0.1,0,5.9,11.5,0.517,2.8,4,0.706,5.3,6.6,11.9,1.4,0.9,1,1.8,4,14.7,17.4,0.552,0.007,0.345,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,0.9,0.4,1.3,0.132,-1.1,-1.1,-2.3,0,0.97,4.44,0.97,1.34,1.27,14.40625,0.777777778
285,Kent Bazemore,SG,28,ATL,65,1789,65,5.7,13.6,0.42,2.2,5.5,0.394,3.5,8.1,0.438,3.2,4,0.796,0.5,4.5,5,4.6,2,0.9,3.2,3,16.8,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17,22.5,0.2,2,2.2,0.059,-0.6,1.1,0.4,1.1,1.97,3.88,3.08,1.12,1.237,27.52307692,1.4375
286,Kentavious Caldwell-Pope,SG,24,LAL,74,2458,74,5,11.7,0.426,2.3,6.1,0.383,2.7,5.6,0.473,2.2,2.8,0.789,0.9,4.8,5.7,2.4,1.6,0.2,1.4,2.1,14.5,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,0.6,0.4,1,1.9,3,3.43,2.58,1.52,1.245,33.21621622,1.714285714
287,Kevin Durant,PF,29,GSW,68,2325,68,9.8,18.9,0.516,2.7,6.4,0.419,7.1,12.5,0.565,5.6,6.3,0.889,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7,26,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,5,0.7,5.6,4.5,4.49,7.8,3.88,1.98,1.482,34.19117647,1.78125
288,Kevin Love,C,29,CLE,59,1651,59,7.3,15.9,0.458,3,7.2,0.415,4.3,8.7,0.494,5.1,5.8,0.88,2.2,9.7,11.9,2.2,0.9,0.5,2,2.6,22.7,22.4,0.614,0.453,0.365,7,29.8,18.6,9.8,1.3,1.2,9.6,25.1,4.7,1.6,6.4,0.185,2.7,-1.5,1.3,1.4,0.9,5.58,2.48,2.35,1.424,27.98305085,1.1
289,Kevon Looney,C,21,GSW,66,910,4,4.4,7.6,0.58,0,0.2,0.2,4.4,7.4,0.59,1.7,3,0.545,3.3,5.2,8.5,1.7,1.3,2.2,1.2,4.2,10.6,14.8,0.588,0.026,0.399,11,15.2,13.2,6,1.8,4.9,12,12.5,1.5,1.3,2.8,0.145,-0.9,2.1,1.2,0.7,0.33,2.46,0.33,0.79,1.385,13.78787879,1.416666667
290,Khem Birch,C,25,ORL,42,578,0,4.2,7.8,0.54,0,0,NA,4.2,7.8,0.54,2.6,3.8,0.689,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1,16.4,0.582,0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,1.2,0.6,1.8,0.15,-1.1,1.4,0.3,0.3,0.07,2.5,0.29,0.86,1.329,13.76190476,1.615384615
291,Khris Middleton,SF,26,MIL,82,2982,82,7.2,15.4,0.466,1.8,4.9,0.359,5.4,10.4,0.517,3.9,4.4,0.884,0.5,4.6,5.2,4,1.4,0.3,2.3,3.3,19.9,17.4,0.577,0.32,0.285,1.8,15,8.4,17.7,2,0.6,11.8,24.6,4.6,2.3,6.9,0.111,1.6,-1.2,0.4,1.8,2.29,5.09,3.43,1.22,1.292,36.36585366,1.739130435
292,Klay Thompson,SG,27,GSW,73,2506,73,8.3,16.9,0.488,3.3,7.5,0.44,5,9.5,0.526,1.2,1.4,0.837,0.4,3.5,4,2.7,0.8,0.5,1.8,1.7,21,16.1,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.2,1.8,4.9,0.094,1.8,-2.4,-0.6,0.9,3.83,4.06,2.64,1.23,1.24,34.32876712,1.5
293,Kobi Simmons,PG,20,MEM,32,643,12,4.5,10.6,0.423,0.6,2.2,0.282,3.9,8.4,0.46,1.4,1.4,1,0.8,2,2.8,3.8,1,0.3,2.5,3.4,11,7.7,0.49,0.206,0.132,2.5,6.6,4.5,16.5,1.4,0.7,18,17,-0.4,0.2,-0.2,-0.013,-3.9,-2.1,-6,-0.6,1.33,3.43,1.29,0.29,0.991,20.09375,1.52
294,Kosta Koufos,C,28,SAC,71,1391,13,5.7,10.1,0.571,0,0,NA,5.7,10.1,0.571,0.9,1.9,0.446,3.9,8.4,12.2,2.3,1.2,0.8,1.3,3.8,12.3,17.5,0.566,0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.9,0.134,-0.8,1.4,0.5,0.9,0.16,5.91,0.66,1.41,1.221,19.5915493,1.769230769
295,Kris Dunn,PG,23,CHI,52,1525,43,6.8,15.7,0.429,1,3.2,0.321,5.7,12.6,0.457,2,2.7,0.737,0.6,4.7,5.2,7.3,2.5,0.6,3.5,4.1,16.5,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.8,0.027,-1.4,1.4,-0.1,0.7,1.5,6.08,2.17,1.19,1.05,29.32692308,2.085714286
296,Kristaps Porzingis,PF,22,NYK,48,1553,48,9,20.6,0.439,2.1,5.3,0.395,7,15.3,0.454,5.1,6.4,0.793,1.4,5.9,7.3,1.3,0.8,2.7,2.2,3.3,25.2,20.4,0.539,0.256,0.309,4.4,18.1,11.3,6.2,1.1,6.4,8.4,31,1.4,1.8,3.2,0.099,-0.5,-0.2,-0.7,0.5,1.17,7.04,2.88,1.71,1.224,32.35416667,0.590909091
297,Kyle Anderson,SF,24,SAS,74,1978,67,4.2,8,0.527,0.3,1,0.333,3.9,6.9,0.556,1.9,2.7,0.712,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,0.151,-0.3,4.3,4.1,3,0.84,4.85,1.16,1.31,1.316,26.72972973,2.176470588
298,Kyle Collinsworth,SF,26,DAL,32,480,2,2.8,7.4,0.384,0.3,1.3,0.235,2.5,6.1,0.415,1.6,3,0.525,2.4,5.6,8,4.2,1.3,0.7,1.8,3.3,7.6,10,0.433,0.172,0.404,7.2,18,12.4,16.4,1.8,1.7,17.1,13.3,-0.1,0.5,0.5,0.046,-4,2.2,-1.8,0,0.23,1.73,0.55,0.36,1.059,15,2.333333333
299,Kyle Korver,SG,36,CLE,73,1574,4,5.1,11.1,0.459,3.8,8.6,0.436,1.3,2.5,0.537,1.5,1.6,0.889,0.2,3.6,3.8,2,0.7,0.6,1.3,3,15.4,13.4,0.652,0.777,0.149,0.7,10.9,5.9,8,1,1.5,9.6,16,2.8,0.6,3.4,0.104,2.2,-2,0.1,0.9,0.79,0.74,1.43,0.66,1.388,21.56164384,1.538461538
300,Kyle Kuzma,PF,22,LAL,77,2401,37,7,15.6,0.45,2.4,6.5,0.366,4.6,9.1,0.511,2.2,3.1,0.707,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,14.2,0.549,0.418,0.2,3.9,17.4,10.7,9.1,1,1.1,11,22.5,1.5,2.3,3.8,0.077,-0.3,-1,-1.3,0.4,2.38,6.85,2.35,1.95,1.178,31.18181818,1
301,Kyle Lowry,PG,31,TOR,78,2510,78,5.8,13.5,0.427,3.4,8.5,0.399,2.4,5,0.474,3.2,3.7,0.854,0.9,5.3,6.2,7.7,1.2,0.3,2.6,2.8,18.2,19.5,0.598,0.631,0.276,3,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7,3.1,10.2,0.194,5.4,0.5,5.9,5,2.92,3.69,2.06,1.2,1.34,32.17948718,2.961538462
302,Kyle O'Quinn,C,27,NYK,77,1387,10,5.8,10,0.583,0.1,0.4,0.235,5.7,9.5,0.599,2.5,3.3,0.772,3.1,9.1,12.2,4.1,0.9,2.5,2.6,5,14.3,20,0.625,0.044,0.331,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17,2.7,2.1,4.8,0.166,0.2,4.3,4.5,2.3,0.3,4.51,1.16,1.52,1.466,18.01298701,1.576923077
303,Kyle Singler,SF,29,OKC,12,59,0,4.3,12.8,0.333,1.2,3.1,0.4,3.1,9.8,0.313,4.3,7.9,0.538,0.6,5.5,6.1,1.2,0.6,0,1.8,2.4,14,5.9,0.43,0.238,0.619,1.8,17.5,9.4,4.8,0.8,0,10.1,21.6,-0.1,0,0,-0.031,-7.7,-4.2,-11.8,-0.1,0.25,0.83,0.42,0.17,1.095,4.916666667,0.666666667
304,Kyrie Irving,PG,25,BOS,60,1931,60,10,20.3,0.491,3.1,7.6,0.408,6.9,12.7,0.541,4.3,4.9,0.889,0.6,3.6,4.2,5.7,1.2,0.3,2.6,2.3,27.3,25,0.61,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31,6.3,2.7,8.9,0.222,6.9,-0.7,6.2,4,2.08,8.53,2.4,1.85,1.349,32.18333333,2.192307692
305,LaMarcus Aldridge,C,32,SAS,75,2509,75,9.9,19.3,0.51,0.4,1.3,0.293,9.5,18,0.526,4.8,5.7,0.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,7.4,3.5,10.9,0.209,3,0.3,3.3,3.3,0.68,10.94,3.02,4.47,1.262,33.45333333,1.375
306,Lance Stephenson,SG,27,IND,82,1850,7,5.9,13.8,0.427,1.3,4.5,0.289,4.6,9.3,0.495,1.6,2.5,0.661,1.2,7,8.3,4.6,0.9,0.3,2.5,3.4,14.7,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.7,21.6,-0.3,2,1.8,0.045,-2,-0.1,-2.1,0,1.16,3.68,1.43,1.1,1.08,22.56097561,1.84
307,Lance Thomas,PF,29,NYK,73,1353,31,2.7,7.1,0.382,1.3,3.3,0.403,1.4,3.8,0.364,1.2,1.4,0.83,1.2,3.5,4.7,1.2,0.8,0.4,1.1,3.6,7.9,6.3,0.513,0.464,0.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,0.3,0.6,0.9,0.031,-2.1,-0.5,-2.6,-0.2,0.41,0.94,0.58,0.44,1.157,18.53424658,1.090909091
308,Langston Galloway,SG,26,DET,58,863,2,5.3,14.2,0.371,3.1,9.1,0.344,2.1,5.1,0.418,1.4,1.7,0.805,0.5,3.3,3.8,2.4,1.5,0.2,0.8,1.6,15,12.2,0.503,0.641,0.121,1.6,10.3,5.9,10.1,2,0.5,4.8,19.3,0.5,0.9,1.4,0.08,-0.2,-1.6,-1.7,0.1,0.34,0.94,1.21,0.34,1.073,14.87931034,3
309,Larry Drew,PG,27,TOT,10,70,0,3.6,12.3,0.292,1.5,4.6,0.333,2.1,7.7,0.267,0,0,NA,1.5,0,1.5,5.1,0,0,1.5,3.1,8.7,2.9,0.354,0.375,0,4.8,0,2.3,18.5,0,0,11.1,16.6,-0.1,0,-0.1,-0.061,-5.4,-5.3,-10.7,-0.2,0,0.67,0,0,0.286,7,3.4
310,Larry Nance,C,25,TOT,66,1421,27,6.1,10.5,0.581,0.1,0.3,0.167,6,10.2,0.594,2.3,3.5,0.664,4.1,7.4,11.5,2.1,2.2,1,1.3,4.4,14.5,20.2,0.605,0.029,0.332,12.4,22,17.3,8.6,3,2.2,9.7,15.9,3.6,2.3,5.8,0.196,0.9,2.4,3.3,1.9,1.2,6.76,1.76,2.13,1.431,21.53030303,1.615384615
311,Lauri Markkanen,PF,20,CHI,68,2020,68,6.7,15.4,0.434,2.6,7.1,0.362,4.1,8.2,0.497,2.5,3,0.843,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,15.6,0.552,0.465,0.193,4,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,1.5,5.23,1.82,1.55,1.163,29.70588235,0.933333333
312,LeBron James,PF,33,CLE,82,3026,82,10.2,18.8,0.542,1.8,4.8,0.367,8.4,14,0.603,4.6,6.3,0.731,1.2,7.3,8.4,8.9,1.4,0.8,4.1,1.6,26.8,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,11,3,14,0.221,7.6,2,9.6,8.9,4.29,14.18,4.04,2.19,1.42,36.90243902,2.170731707
313,London Perrantes,PG,23,CLE,14,66,0,1.1,7.1,0.154,0,1.6,0,1.1,5.5,0.2,1.6,2.7,0.6,0.5,1.6,2.2,2.7,1.1,0.5,0.5,3.3,3.8,0.7,0.23,0.231,0.385,1.7,5,3.4,9.4,1.5,1.3,6.2,10.9,-0.1,0,-0.1,-0.086,-7.5,-1.3,-8.7,-0.1,0,0.25,0,0,0.667,4.714285714,5.4
314,Lonzo Ball,PG,20,LAL,52,1780,50,4.1,11.4,0.36,1.8,6,0.305,2.3,5.4,0.42,0.6,1.4,0.451,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7,1.7,1.37,3.87,1.83,1.17,0.944,34.23076923,2.714285714
315,Lorenzo Brown,PG,27,TOR,14,139,0,3.6,8.8,0.412,0.5,3.1,0.167,3.1,5.7,0.545,0.5,0.5,1,0.3,3.6,3.9,3.4,1.3,0,0.8,1.8,8.3,8.2,0.459,0.353,0.059,0.8,11.1,6,12.4,1.8,0,7.9,11.9,0,0.1,0.2,0.06,-2.8,-0.2,-3,0,0.17,0.67,0,0,0.667,9.928571429,4.25
316,Lou Williams,SG,31,LAC,79,2589,19,8.1,18.6,0.435,2.6,7.2,0.359,5.5,11.4,0.484,6,6.8,0.88,0.6,2.2,2.8,5.8,1.2,0.3,3.3,1.5,24.8,20.2,0.574,0.387,0.367,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,0.125,3.8,-2.9,1,2,2.7,6.88,2.8,1.61,1.35,32.7721519,1.757575758
317,Luc Mbah a Moute,PF,31,HOU,61,1564,15,3.8,7.9,0.481,1.5,4,0.364,2.4,4,0.599,1.5,2.2,0.684,0.5,3.8,4.3,1.3,1.7,0.6,1.6,2.3,10.6,10.2,0.595,0.501,0.275,1.6,11.7,6.7,5,2.3,1.4,15.1,12.9,0.7,2.1,2.8,0.086,-1.5,1.5,0,0.8,1.45,3.41,1.24,0.63,1.348,25.63934426,0.8125
318,Lucas Nogueira,C,25,TOR,49,418,3,4.2,6.9,0.613,0.4,1.6,0.263,3.8,5.3,0.721,1.6,2.4,0.679,1.6,5.9,7.5,1.9,2,3.7,1.4,4.2,10.5,17.3,0.661,0.238,0.35,4.9,18.1,11.7,7.2,2.7,8.2,14.8,11.4,0.7,1,1.6,0.188,-0.7,6.2,5.4,0.8,0.15,1.71,0.63,0.37,1.523,8.530612245,1.357142857
319,Luis Montero,SG,24,DET,2,8,0,0,4.5,0,0,0,NA,0,4.5,0,0,0,NA,0,9,9,0,0,0,9,0,0,-15.5,0,0,0,0,28.2,13.8,0,0,0,66.7,16.6,-0.1,0,-0.1,-0.445,-23.7,-2.1,-25.9,0,0,0,0,0,0,4,0
320,Luke Babbitt,SF,28,TOT,50,715,14,4.6,10.8,0.423,3,7.9,0.385,1.6,3,0.525,0.9,1.1,0.773,0.4,4.5,4.8,1.6,0.4,0.4,1,2.7,13,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,0.5,0.4,0.9,0.06,-1,-2.2,-3.2,-0.2,0.37,0.61,1.09,0.39,1.255,14.3,1.6
321,Luke Kennard,SG,21,DET,73,1463,9,5.1,11.4,0.443,2,4.8,0.415,3.1,6.6,0.463,1.6,1.9,0.855,0.5,3.8,4.3,3.1,1.1,0.3,1.7,2.1,13.7,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-1.1,-0.4,-1.5,0.2,0.49,1.46,1.29,0.71,1.161,20.04109589,1.823529412
322,Luke Kornet,PF,22,NYK,20,326,1,5.4,13.8,0.392,3.1,8.7,0.354,2.3,5.1,0.457,0.9,1.2,0.727,1.2,5.9,7.1,2.9,0.7,1.8,1.3,3.1,14.8,13.6,0.516,0.632,0.088,3.8,18,10.9,11.6,0.9,4.2,8.5,19,0.2,0.3,0.5,0.077,0.1,0.1,0.2,0.2,0,1.25,0.5,1.63,0.81,16.3,2.230769231
323,Luol Deng,SF,32,LAL,1,13,1,2.8,5.5,0.5,0,0,NA,2.8,5.5,0.5,0,0,NA,0,0,0,2.8,2.8,0,2.8,0,5.5,5.5,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.8,0,0,0,-0.018,-7.2,-1.3,-8.5,0,2,2,2,0,1,13,1
324,Malachi Richardson,SG,22,TOT,26,324,4,3.3,10,0.333,1.3,4.4,0.3,2,5.6,0.36,1.9,2.4,0.773,0.6,3.2,3.8,1.4,1.1,0.1,1.1,3,9.9,5.9,0.446,0.444,0.244,1.7,10.6,6,5.6,1.6,0.3,9.1,15.2,-0.2,0.1,-0.1,-0.015,-4.3,-2.1,-6.4,-0.4,0.35,0.62,0.85,0.08,0.989,12.46153846,1.272727273
325,Malcolm Brogdon,PG,25,MIL,48,1436,20,6.1,12.6,0.485,1.6,4,0.385,4.6,8.6,0.532,1.9,2.1,0.882,0.6,3.3,3.9,3.8,1,0.3,1.7,3.2,15.7,14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2,0.7,2.7,0.091,0.6,-1.9,-1.3,0.2,1.7,6.61,1.93,0.89,1.247,29.91666667,2.235294118
