Pick,Player
37,DeAndre Daniels
38,Spencer Dinwiddie
39,Jerami Grant
40,Glenn Robinson III
41,Nikola Jokic
42,Nick Johnson
43,Walter Tavares
44,Markel Brown
45,Dwight Powell
46,Jordan Clarkson
47,Russ Smith
48,Lamar Patterson
49,Cameron Bairstow
50,Alec Brown
51,Thanasis Antetokounmpo
52,Vasilije Micic
53,Alessandro Gentile
54,Nemanja Dangubic
55,Semaj Christon
56,Roy Devyn Marble
57,Louis Labeyrie
58,Jordan McRae
59,Xavier Thames
60,Cory Jefferson
1,Karl-Anthony Towns
2,D'Angelo Russell
3,Jahlil Okafor
4,Kristaps Porzingis
5,Mario Hezonja
6,Willie Cauley-Stein
7,Emmanuel Mudiay
8,Stanley Johnson
9,Frank Kaminsky
10,Justise Winslow
11,Myles Turner
12,Trey Lyles
13,Devin Booker
14,Cameron Payne
15,Kelly Oubre
16,Terry Rozier
17,Rashad Vaughn
18,Sam Dekker
19,Jerian Grant
20,Delon Wright
21,Justin Anderson
22,Bobby Portis
23,Rondae Hollis-Jefferson
24,Tyus Jones
25,Jarell Martin
26,Nikola Milutinov
27,Larry Nance Jr.
28,R.J. Hunter
29,Chris McCullough
30,Kevon Looney
31,Cedi Osman
32,Montrezl Harrell
33,Jordan Mickey
34,Anthony Brown
35,Willy Hernangomez
36,Rakeem Christmas
37,Richaun Holmes
38,Darrun Hilliard
39,Juan Pablo Vaulet
40,Josh Richardson
41,Pat Connaughton
42,Olivier Hanlan
43,Joseph Young
44,Andrew Harrison
45,Marcus Thornton
46,Norman Powell
47,Arturas Gudaitis
48,Dakari Johnson
49,Aaron White
50,Marcus Eriksson
51,Tyler Harvey
52,Satnam Singh
53,Sir'Dominic Pointer
54,Dani Diez
55,Cady Lalanne
56,Branden Dawson
57,Nikola Radicevic
58,J.P. Tokoto
59,Dimitrios Agravanis
60,Luka Mitrovic
